"ID";"Area";"Question";"Description";"Status";"Engine behaviour today";"What we need from the business";"Decision so far / answer";"Needs business input";"Priority";"Related"
"Q1";"Output IDs";"Should EAD_MATRIX_ID include RATE_TYPE?";"";"Answered";"IDs include rate type, e.g. BCEF_CONSO_TF_Q.";"Confirm the spec form (with RATE_TYPE) is the production-canonical ID.";"DECISION (user): keep spec form with RATE_TYPE; real BNP output uses it too.";"No (confirm)";"Low";"Q19"
"Q2";"Segments";"Aggregated segment name (INVEST_PRO + INVEST_CORP -> INVEST)";"";"Answered";"Uses AGGREGATED_SEGMENT_NAME when AGGREGATION=YES.";"Confirm the aggregation rule stays.";"DECISION (user): keep AGGREGATION / AGGREGATED_SEGMENT_NAME.";"No (confirm)";"Low";""
"Q3";"FWL";"FWL flag for an aggregated matrix when constituents disagree";"";"Answered";"FWL=YES if ANY constituent is YES (so INVEST=YES).";"Confirm the any-YES rule.";"DECISION: any-constituent-YES.";"No (confirm)";"Low";"Q21"
"Q4";"Output";"Emit both Q and Y for every matrix?";"";"Answered";"Always emits both Q and Y.";"Confirm both are always emitted (vs one selected per matrix).";"DECISION (user): always both.";"No (confirm)";"Low";"Q22"
"Q5";"FWL";"Source of FWL_TO_BE_APPLIED; is CONSO forward-looking?";"";"Answered";"Read from PARAMETRAGE; CONSO set to YES.";"Confirm CONSO FWL=YES (already business-confirmed).";"DECISION (business 2026-06-02): CONSO=YES.";"No (confirm)";"Low";"Q17"
"Q6";"Formula";"Core RA formula";"";"Answered";"RA = -(RA_STAT + RA_FI + RE) / CRD (baseline).";"Confirm the formula.";"DECISION (user): confirmed.";"No (confirm)";"Low";"Q26"
"Q7";"Aggregation";"Period aggregation windows (quarterly / yearly)";"Monthly RA inputs (361 months: CRD, RA STAT, RA FI, RE) must be collapsed into the quarterly and yearly points of the output term structure, and the method differs by measure type. CRD is a stock (an exposure level) so it is AVERAGED over the months of the period: quarterly = mean of the 3 months in the quarter (M[3q-2..3q]); yearly = mean of the window. The RA metrics (RA STAT, RA FI, RE) accrue through the period so they are SUMMED with a half-weight (trapezoidal) window that shares the boundary months between adjacent periods: Q1 = M1 + M2/2; Qn = M[3q-4]/2 + M[3q-3] + M[3q-2] + M[3q-1]/2; yearly = plain sums with Y1 = 6 months (stub) and Yn = 12. Code: PrimaryView.aggregate. CATCH: the CRD window (M[3q-2..3q], inside the quarter) and the RA window (M[3q-4..3q-1], shifted ~1 month earlier across the boundary) are OFFSET by about a month. Harmless at normal terms, but at the deep-tail run-off cliff (~term 30 / Q30) the misaligned windows straddle the discontinuity differently, RA can exceed 1, the cumulative product flips negative and the tail blows up (e.g. INVEST -389) - which is why Q30 added a run-off freeze guard. NEEDED FROM BUSINESS: (1) confirm the methodology - CRD = average (level), RA = half-weight trapezoidal sum (accrual); (2) confirm the yearly stub Y1 = 6 months, Yn = 12; (3) decide whether the CRD-vs-RA window offset is intentional (keep it and rely on the Q30 guard) or whether the windows should be ALIGNED to the same months (likely removes the tail spike at source). Point (3) is the genuinely open item - Q30 lists Q7 as a dependency.";"Answered";"Quarterly: RA metrics half-weight window, CRD block mean of 3 months. Yearly: sums; CRD mean.";"Confirm windows. NOTE: CRD and RA-metric windows are offset, which causes the tail spike in Q30.";"DECISION (user): confirmed.";"No (confirm)";"Medium";"Q30"
"Q8";"Run-off";"Handling when CRD = 0";"";"Answered";"CRD=0 -> RA=0 (curve flattens) instead of dividing by zero.";"Confirm. NOTE: this only covers EXACT zero; non-zero residual / cliff is Q26 and Q30.";"DECISION (user): confirmed.";"No (confirm)";"Medium";"Q26, Q30"
"Q9";"Grid";"Flat-tail boundary";"The output term structure reports EAD_RA_RATE on a fixed grid (quarterly 0, 0.25, ... 50.0, 50.25, then 100; yearly 0, 1, ... 50, then 100), but the RA input only has 361 monthly points (~30 years), so the curve can only be COMPUTED to a limited term. Q9 sets what happens beyond that: compute to the last computable term, then HOLD that last value FLAT out to the reporting horizon (50) and the tail point (100). With 361 months the last fully-windowed term is 29.75 (quarterly) / 29 (yearly) - the quarterly window for term 30 (period 121) needs month 362, which is past the data, so it cannot be computed. Code: PrimaryView.computeRa stops when the term exceeds COMPUTED_HORIZON_Y=30 or a period window falls off the end of the data (returns None), so the series is only as long as the computable prefix; PrimaryView.termSeries then maps each grid term with idx = min(n, length)-1, clamping to the last computed value = the flat fill. Grid sizes: 203 (Q: coreMax 50.25 -> 202 core points + 100) and 52 (Y: 51 + 100). Same None-stops-the-series mechanism also drives the run-off freeze (Q30, RUNOFF_RA_CAP), so the last computable term can be shortened by run-off, not just by data length. NEEDED FROM BUSINESS: (1) confirm the extrapolation rule - hold the last computed value flat (vs extrapolate a decay/trend, run to zero, or cap at a fixed projection horizon); (2) confirm the reporting horizon - flat to 50 then a single 100 point (the meaning of the 100 point is Q23); (3) note that with the current 361-month file the real computed tail is 29.75/29 (a longer vintage reaches 30) - behaviour unchanged, but the last-real-then-flat boundary shifts with input length.";"Answered";"Compute to the last computable term, then hold flat to 50 and 100.";"Confirm the flat-tail rule.";"DECISION (user): confirmed.";"No (confirm)";"Low";"Q23"
"Q10";"Shock";"Stress leg selection (+ / -) under FWL=YES";"For FWL=YES matrices the RA input provides two stress legs, STRESS (+) and STRESS (-), on top of BASELINE, and the scenario RA is computed by blending baseline toward ONE stress leg - so the engine must decide which leg each scenario (Adverse / Optimistic / Extreme) leans toward. Q10 is that selection rule: choose the leg by the SIGN of the scenario's rate move vs Central, where delta = MACRO[scenario][date] - MACRO[Central][date]; delta < 0 -> STRESS (-), delta >= 0 -> STRESS (+). Code: PrimaryView.scenarioRa - 'val (fs, rs) = if (delta < 0) (fm, rm) else (fp, rp)'. delta is the macro rate gap for the matrix's MACRO_VARIABLE, read from the scenario path via deltaPath/macroDeltaArray, and is evaluated PER PERIOD, so a path that changes sign can switch legs term by term; the chosen leg is then blended with weight |delta|/ref_shock (magnitude is Q12). Why the direction is correct (evidence, target MORTGAGE_Q): STRESS(-)-baseline RAISES RA, STRESS(+)-baseline LOWERS it; the target's Adverse/Extreme show a positive RA shock (rates fall -> delta<0 -> STRESS(-)) and Optimistic a negative shock (rates rise -> delta>=0 -> STRESS(+)) - all three match. Caveats that are NOT flaws in this rule: distinguishing Adverse from Extreme needs different macro deltas (data, Q15); the shock MAGNITUDE is ref_shock (Q12) - Q10 only sets which leg/direction. NEEDED FROM BUSINESS: (1) confirm the leg-by-sign convention and the tie-break at delta=0 (currently STRESS(+); immaterial since the blend weight is 0 there); (2) confirm the directional mapping is economically intended (a downward-rate scenario pulls toward STRESS(-) and raises RA); (3) note the dependencies - A-vs-E differentiation (Q15) and shock magnitude (Q12) are separate confirmations.";"Answered";"delta<0 -> STRESS(-); delta>=0 -> STRESS(+), by sign of the macro rate move.";"Confirm leg-by-sign rule.";"DECISION: confirmed.";"No (confirm)";"Low";"Q15"
"Q11";"Shock";"Macro shock: single date or path over a window?";"The FWL=YES shock blends RA toward a stress leg by an amount driven by how far a scenario's macro rate sits from Central (the delta). Q11 decides WHICH macro reading drives it: a single projection date (one shock for the whole curve) or the whole macro PATH over a window (a delta that varies term by term). DECISION: use the path over a window shock_window_start..shock_window_end; term 0 = window start; step = 1 quarter (quarterly) or 1 year = 4 quarters (yearly); past the window end the last delta is held flat. Replaces the earlier single projection_date design. Code: macroDeltaArray builds delta_q = MACRO[scenario][q] - MACRO[Central][q] for the matrix's MACRO_VARIABLE over each quarter of shockWindow; deltaPath turns it into a per-period function (period 1 -> window start, advance 1 quarter (Q) or 4 (Y), min(...,length-1) holds the last delta past the window); PrimaryView.scenarioRa consumes deltaAt(period) to pick the leg (Q10) and weight the blend, so a ramping path gives a term-varying shock. WHY a path not a single date: at a single near date all scenarios are still equal -> delta=0 -> no shock; the path lets the delta ramp in as scenarios diverge, growing the shock with term. RESULT: mechanism verified (Adverse/Extreme lower EAD, Optimistic higher); numeric match unchanged because the magnitude is tiny (ref_shock=1.0, Q12) and the tail-vintage error dominates (Q15) - separate issues, not a flaw in the path. UPDATE 2026-06-04: with Scenario_EAD_FWD.xlsx (coverage 2025Q1..2028Q4) the window moved to 2025Q4..2028Q4; the new scenario is forward-looking (no long history) so the term-0/window anchor must be re-confirmed (Q25); mechanism unchanged. Config: tseadfwd_app.shock_window_start / shock_window_end. NEEDED FROM BUSINESS: (1) confirm path-over-window (not single-date) is intended; (2) confirm the term-0 anchor and window bounds for the forward-looking file (2025Q4..2028Q4 is the current assumption) - see Q25; (3) confirm the hold-last-delta rule past the window end (vs revert to 0 or extrapolate); (4) note dependencies - shock magnitude (Q12) and Adverse-vs-Extreme (Q15) are separate sign-offs; Q11 only governs the source/shape of the delta.";"Answered";"Macro path over a shock window; term 0 = window start, step 1 quarter.";"Confirm the window anchor for the forward-looking file (see Q25).";"DECISION (user): path over window.";"Yes (window anchor)";"Medium";"Q25"
"Q12";"Shock";"ref_shock calibration (shock magnitude)";"";"Blocked";"ref_shock = 1.0, i.e. the shock is effectively off.";"Provide a calibration value or a trusted reference output to set the magnitude.";"Pending a trusted reference.";"Yes";"High";"Q15, Q26"
"Q13";"Shock";"Macro-delta x100 scaling?";"";"Answered";"Delta kept raw; any x100 / unit scaling is absorbed by ref_shock.";"Confirm the raw-delta convention.";"DECISION (user): raw delta.";"No (confirm)";"Low";"Q12"
"Q14";"Scenarios";"Scenario S (Secto): out of scope? (merges former Q24)";"";"Open";"Not implemented (no Secto data in the scenario file, no S rows in target).";"Confirm Secto is out of scope for this delivery. One-line addition ('Secto' -> 'S') once data exists.";"";"Yes";"Low";""
"Q15";"Scenarios";"Adverse vs Extreme differentiation";"";"Resolved";"New scenario file gives distinct A/E deltas; engine emits distinct A/O/E.";"Confirm the new scenario values are the intended ones.";"RESOLVED via Scenario_EAD_FWD.xlsx (A ~ -0.0048, E ~ -0.0068 on IR_10Y_FR).";"No (confirm)";"Medium";"Q12"
"Q16";"Output";"Number format (delimiter, decimal comma, decimals)";"";"Answered";"Semicolon delimiter, decimal comma, EAD_RA_RATE 9 dp half-up, trailing zeros stripped.";"Confirm the output format.";"DECISION (user): confirmed.";"No (confirm)";"Low";""
"Q17";"FWL";"Spec says 'no difference between scenarios' under FWL=YES";"";"Answered";"FWL=YES scenarios DO differ (scenario-shocked).";"Confirm (already business-confirmed); spec sentence applies only to FWL=NO.";"DECISION (business): scenarios differ under FWL=YES.";"No (confirm)";"Low";"Q5"
"Q18";"Horizon";"Role of PROJECTION_HORIZON (= 3Y in PARAMETRAGE)";"";"Open";"Column is present but NOT used by the engine.";"Does PROJECTION_HORIZON cap the curve (then hold flat), or is it informational?";"";"Yes";"Medium";"Q26, Q30"
"Q19";"Output IDs";"Canonical production ID form";"";"Answered";"IDs include RATE_TYPE.";"Confirm production-canonical ID = with RATE_TYPE.";"EVIDENCE: real BNP output uses BCEF_*_TF_*. (Local validation harness id-map needs fixing - Q28.)";"No (confirm)";"Medium";"Q1, Q28"
"Q20";"Scope";"Multiple rate types: separate or combined matrices?";"";"Open";"Each rate type is treated as a separate matrix.";"When TV (and others) exist, separate matrix per rate type or combined per segment?";"";"Yes";"Medium";"Q29"
"Q21";"Shock";"Shock scope for aggregated segments (INVEST = PRO + CORP)";"";"Open";"The whole combined PRO+CORP series is shocked.";"Should only the FWL=YES constituent (CORP) be shocked? Affects shock magnitude.";"";"Yes";"Medium";"Q3, Q12"
"Q22";"Output";"computation_frequency: Q, Y, or both?";"";"Open";"Always emits both Q and Y.";"Confirm the production rule (always both, or per-matrix selection).";"";"Yes";"Low";"Q4"
"Q23";"Grid";"The term 100 point";"";"Open";"After 50 there is a single term 100 holding the flat value.";"Is term 100 a genuine reporting point (perpetuity proxy) or a sentinel?";"";"Yes";"Low";"Q9"
"Q25";"Scenario input";"Per-scenario Excel workbook + forward-looking window";"";"Open";"Reads one sheet per scenario (Central/Adverse/Optimistic/Extreme); window 2025Q4..2028Q4.";"Confirm: (1) one-sheet-per-scenario is the production layout; (2) what is term 0 for a forward-looking scenario; (3) extra macro columns (CPI/CRE) are ignored.";"";"Yes";"High";"Q11"
"Q26";"Run-off / Data";"Constant vs decaying RA_FI/RE; run-off at a non-zero CRD residual";"";"Blocked";"With constant RA_FI/RE in v2, RA balloons as CRD runs off; MORTGAGE/INVEST over-decay in the tail.";"In real data, are MORTGAGE/INVEST RA_FI and RE CONSTANT across all months, or do they DECAY with the balance? Should run-off freeze at a non-zero CRD residual?";"Pending business decision (drives the whole MORTGAGE divergence).";"Yes";"High";"Q8, Q30, Q18"
"Q27";"Inputs";"Label / locale robustness (NBSP, underscore, label typo)";"";"Open";"canon() normalizes FWL_TYPE/METRIC/SEGMENT/RATE_TYPE labels; a diagnostic warns on a missing stress leg.";"Confirm the canonical label vocabulary (BASELINE; STRESS (+); STRESS (-); CRD; RA STAT; RA FI; RE).";"Engine hardened; normalization cannot catch a semantically WRONG label (e.g. BASELINE (+) typo).";"Yes";"Medium";"Q28"
"Q28";"Inputs";"Cross-environment naming + fix the validation harness";"";"Open";"Names differ by environment: TF vs ITF; IR_10Y_FR vs IR_10Y_FRI; INVEST_PRO vs INVEST_PROD.";"Are per-environment names expected, or is a canonical mapping needed? Also fix the local harness id-map.";"";"Yes";"Medium";"Q19, Q27"
"Q29";"Scope";"Perimeter scope (BCEF only, or BGL/BNL/FORTIS/BPOST/BPLS too?)";"";"Open";"Engine reads only RA_BCEF; other perimeters are disabled. PARAMETRAGE defines BGL/BNL (macro BE/IT), FORTIS/BPOST, and ~50 BPLS rows (numeric segments, blank RATE_TYPE).";"Which perimeters are in scope? Confirm per-perimeter macro mapping (FR/BE/IT). How to name BPLS rows with a numeric segment and no rate type?";"DECISION (user 2026-06-04): blank RATE_TYPE is dropped from the id -> BPLS_10276_Q (not BPLS_10276__Q); ids with a rate type unchanged. Scope (Ask 1) + macro mapping (Ask 2) still open.";"Yes";"High";"Q20"
"Q30";"Run-off";"Run-off freeze rule on the deep-tail cliff (guard added 2026-06-04)";"";"Open";"RA>=1 (cliff) -> freeze EAD at the last good value; output clamped to [0,1]. Stops the negative blow-up (e.g. INVEST -389).";"Confirm freeze-at-last-value is intended (vs cap RA<1, RA=0-and-continue, or a fixed projection horizon). Should the offset CRD vs RA windows (Q7) be aligned?";"Guard implemented to bound output; intended behaviour to be confirmed.";"Yes";"High";"Q26, Q7, Q18"
"Q31";"Inputs";"PARAMETRAGE source of truth";"";"Open";"Config uses PARAMETRAGE_corrected.xlsx (hand-patched: added MORTGAGE row, full-precision values).";"Confirm PARAMETRAGE_corrected is authoritative, or specify how the production PARAMETRAGE is delivered.";"";"Yes";"Medium";"Q5"
"Q32";"Ticket / Formula";"FWL=NO STEP 3: DET RA FI / DET RE computed but not used";"";"Open";"Engine sums all three details: RA = -(RA_STAT + RA_FI + RE)/CRD (matches target).";"Confirm ticket STEP 3 should be VECTOR = 1 - (DET RA STAT + DET RA FI + DET RE), not RA STAT alone.";"Ticket-text defect: STEP 2 computes DET RA FI/RE but STEP 3 uses only DET RA STAT. Engine already sums all three.";"Yes";"Medium";"Q6"
"Q33";"Ticket / Formula";"FWL=YES STEP 4/5: scenario FI+RE detail undefined; (CENTRAL) base + missing sign";"";"Open";"scenarioRa: scenario FI+RE = fireBase + weight*(fireStress - fireBase); fireBase = -(FI_base+RE_base)/CRD_base (= Central); leg by sign of macro delta.";"Confirm: (a) the explicit shocked FI+RE formula for A/O/E (STEP 5 uses RA FI RE (SCENARIO), never defined); (b) base labelled CENTRAL not BASELINE (same value); (c) RA FI RE (CENTRAL) needs the leading minus.";"Ticket-text defects; engine implements the scenario shock correctly.";"Yes";"Medium";"Q6, Q10, Q17, Q26"
